year,city,country,avg_temp,Agra 10 Year Moving Avg,World 10 Year Moving Avg
1796,Agra,India,25.05,,
1797,Agra,India,26.71,,
1798,Agra,India,24.19,,
1799,Agra,India,25.31,,
1800,Agra,India,25.25,,
1801,Agra,India,24.11,,
1802,Agra,India,25.69,,
1803,Agra,India,25.44,,
1804,Agra,India,25.76,,
1805,Agra,India,25.35,25.286,8.551
1806,Agra,India,25.26,25.307,8.567
1807,Agra,India,24.86,25.122,8.544
1808,Agra,India,,25.22555556,8.44
1809,Agra,India,,25.215,8.297
1810,Agra,India,,25.21,8.141
1811,Agra,India,,25.39333333,7.968
1812,Agra,India,,25.334,7.815
1813,Agra,India,24.6,25.166,7.739
1814,Agra,India,23.71,24.756,7.614
1815,Agra,India,24.13,24.512,7.482
1816,Agra,India,23.77,24.214,7.333
1817,Agra,India,23.91,24.024,7.203
1818,Agra,India,24.32,24.07333333,7.223
1819,Agra,India,23.93,24.05285714,7.252
1820,Agra,India,24.15,24.065,7.322
1821,Agra,India,24.88,24.15555556,7.445
1822,Agra,India,24.98,24.238,7.559
1823,Agra,India,24.73,24.251,7.557
1824,Agra,India,25.35,24.415,7.653
1825,Agra,India,25.15,24.517,7.768
1826,Agra,India,25.17,24.657,7.91
1827,Agra,India,25.36,24.802,8.093
1828,Agra,India,24.95,24.865,8.127
1829,Agra,India,24.76,24.948,8.184
1830,Agra,India,25.08,25.041,8.274
1831,Agra,India,24.51,25.004,8.229
1832,Agra,India,24.72,24.978,8.155
1833,Agra,India,24.89,24.994,8.184
1834,Agra,India,24.84,24.943,8.144
1835,Agra,India,23.93,24.821,8.044
1836,Agra,India,24.61,24.765,7.978
1837,Agra,India,24.5,24.679,7.835
1838,Agra,India,24.48,24.632,7.769
1839,Agra,India,24.56,24.612,7.738
1840,Agra,India,24.79,24.583,7.666
1841,Agra,India,24.57,24.589,7.671
1842,Agra,India,24.79,24.596,7.728
1843,Agra,India,24.75,24.582,7.744
1844,Agra,India,24.39,24.537,7.694
1845,Agra,India,24.65,24.609,7.74
1846,Agra,India,25.15,24.663,7.825
1847,Agra,India,24.67,24.68,7.896
1848,Agra,India,24.52,24.684,7.943
1849,Agra,India,24.53,24.681,7.978
1850,Agra,India,24.86,24.688,7.988
1851,Agra,India,24.82,24.713,8.037
1852,Agra,India,24.67,24.701,8.045
1853,Agra,India,24.97,24.723,8.032
1854,Agra,India,25.08,24.792,8.088
1855,Agra,India,25.23,24.85,8.114
1856,Agra,India,23.84,24.719,8.059
1857,Agra,India,24.32,24.684,8.026
1858,Agra,India,,24.70222222,8.038
1859,Agra,India,,24.72375,8.065
1860,Agra,India,,24.70428571,8.071
1861,Agra,India,,24.685,8.038
